model,imageid,image,male,female,unknown
1,1,1_2023_02007sep2_t001,7.709227085113525,7.872747421264648,7.65424919128418
2,1,1_2023_02007sep2_t001,9.045438766479492,8.593867301940918,8.934576034545898
3,1,1_2023_02007sep2_t001,9.465993881225586,9.494561195373535,9.797795295715332
4,1,1_2023_02007sep2_t001,10.187389373779297,9.305623054504395,10.168377876281738
5,1,1_2023_02007sep2_t001,7.858855724334717,8.296109199523926,8.227828025817871
6,1,1_2023_02007sep2_t001,7.96998929977417,7.52622652053833,8.588205337524414
7,1,1_2023_02007sep2_t001,9.643884658813477,9.232169151306152,10.684015274047852
8,1,1_2023_02007sep2_t001,9.002509117126465,9.334866523742676,9.925506591796875
9,1,1_2023_02007sep2_t001,9.661006927490234,9.60901165008545,9.452159881591797
10,1,1_2023_02007sep2_t001,9.25309944152832,9.113045692443848,9.254785537719727
1,2,2_2023_02010sep2_t001,10.270461082458496,10.098769187927246,11.709722518920898
2,2,2_2023_02010sep2_t001,10.880512237548828,9.86933422088623,11.004867553710938
3,2,2_2023_02010sep2_t001,10.815094947814941,10.540800094604492,11.263968467712402
4,2,2_2023_02010sep2_t001,11.937203407287598,10.484430313110352,11.995003700256348
5,2,2_2023_02010sep2_t001,11.092273712158203,10.145318984985352,11.700759887695312
6,2,2_2023_02010sep2_t001,10.04541015625,9.51513385772705,10.94013786315918
7,2,2_2023_02010sep2_t001,11.879021644592285,10.973506927490234,12.84954833984375
8,2,2_2023_02010sep2_t001,12.110249519348145,11.532061576843262,13.26224422454834
9,2,2_2023_02010sep2_t001,10.816149711608887,10.438070297241211,10.85835075378418
10,2,2_2023_02010sep2_t001,12.218720436096191,11.331239700317383,12.482927322387695
